packageA,packageB,CODE-DEPENDENCY,CO-DEPENDENCY,CATEGORY
org.odpi.openmetadata.frameworkservices.omf.rest,org.odpi.openmetadata.frameworkservices.omf.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adminservices.configuration.properties,org.odpi.openmetadata.serveroperations.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.unitycatalog.properties,org.odpi.openmetadata.adapters.connectors.unitycatalog.survey,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc.rest,org.odpi.openmetadata.viewservices.runtimemanager.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.generichandlers,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.repositoryconnector,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector.database,org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector.schema,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.generichandlers,org.odpi.openmetadata.frameworkservices.omf.handlers,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc,org.odpi.openmetadata.viewservices.feedbackmanager.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc,org.odpi.openmetadata.viewservices.collectionmanager.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.accessservices.assetmanager.fvt.externalidentifiers,org.odpi.openmetadata.fvt.utilities.exceptions,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.reports,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc,org.odpi.openmetadata.commonservices.generichandlers,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.repositoryconnector,org.odpi.openmetadata.repositoryservices.localrepository.repositoryconnector,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.externalharvesters.harvestopenmetadata.schema,org.odpi.openmetadata.adapters.connectors.resource.jdbc.properties,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.apacheatlas.integration.modules,org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.integration.jdbc.transfer.requests,org.odpi.openmetadata.frameworks.auditlog,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.samples.governanceactions.clinicaltrials,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc.rest,org.odpi.openmetadata.frameworks.openmetadata.search,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.search,org.odpi.openmetadata.frameworks.opensurvey,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.jacquard,org.odpi.openmetadata.frameworks.openmetadata.search,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.repositoryhandler,org.odpi.openmetadata.frameworks.openmetadata.ffdc,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.opengovernance,org.odpi.openmetadata.frameworks.openmetadata.search,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adminservices.configuration.registration,org.odpi.openmetadata.adminservices.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.rest.server,org.odpi.openmetadata.repositoryservices.rest.server.spring,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector.mappers,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,org.odpi.openmetadata.repositoryservices.events,HIGH,LOW,CAN BE INCONSISTENT
