source_package,target_package,WDS,DD,NWDS,FINAL_SCORE
org.odpi.openmetadata.accessservices.communityprofile.fvt.validvalues,org.odpi.openmetadata.fvt.utilities.exceptions,830,4,830.0,1335.8334673203033
org.odpi.openmetadata.accessservices.datamanager.fvt.validvalues,org.odpi.openmetadata.fvt.utilities.exceptions,830,4,830.0,1335.8334673203033
org.odpi.openmetadata.adapters.connectors.externalharvesters.harvestsurveys,org.odpi.openmetadata.frameworks.openmetadata.properties,745,5,745.0,1334.8608045749008
org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector,org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector.database,738,5,738.0,1322.3184882903045
org.odpi.openmetadata.samples.governanceactions.clinicaltrials,org.odpi.openmetadata.frameworks.openmetadata.types,1202,2,1202.0,1320.5319709790679
org.odpi.openmetadata.viewservices.metadataexpert.server,org.odpi.openmetadata.commonservices.ffdc,813,4,813.0,1308.4730228089236
org.odpi.openmetadata.viewservices.connectionmaker.server,org.odpi.openmetadata.commonservices.ffdc,809,4,809.0,1302.0352711591872
org.odpi.openmetadata.adapters.connectors.postgres.survey,org.odpi.openmetadata.frameworks.opensurvey.measurements,669,6,669.0,1301.8138897180045
org.odpi.openmetadata.frameworkservices.omf.server,org.odpi.openmetadata.frameworkservices.omf.rest,721,5,721.0,1291.8585773134275
org.odpi.openmetadata.serveroperations.server,org.odpi.openmetadata.adminservices.configuration.properties,617,7,617.0,1283.0154312164586
org.odpi.openmetadata.adapters.connectors.unitycatalog.survey,org.odpi.openmetadata.adapters.connectors.unitycatalog.properties,787,4,787.0,1266.627637085637
org.odpi.openmetadata.viewservices.runtimemanager.server,org.odpi.openmetadata.commonservices.ffdc.rest,703,5,703.0,1259.6069068673226
org.odpi.openmetadata.commonservices.generichandlers,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.repositoryconnector,643,6,643.0,1251.2202258425664
org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector.database,org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector.schema,774,4,774.0,1245.7049442239936
org.odpi.openmetadata.frameworkservices.omf.handlers,org.odpi.openmetadata.commonservices.generichandlers,599,7,599.0,1245.5854834662216
org.odpi.openmetadata.viewservices.collectionmanager.server,org.odpi.openmetadata.commonservices.ffdc,773,4,773.0,1244.0955063115596
org.odpi.openmetadata.viewservices.feedbackmanager.server,org.odpi.openmetadata.commonservices.ffdc,773,4,773.0,1244.0955063115596
org.odpi.openmetadata.accessservices.assetmanager.fvt.externalidentifiers,org.odpi.openmetadata.fvt.utilities.exceptions,769,4,769.0,1237.6577546618232
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.reports,633,6,633.0,1231.7611243520132
org.odpi.openmetadata.frameworks.openmetadata.properties.governance,org.odpi.openmetadata.frameworks.openmetadata.properties,759,4,759.0,1221.5633755374822
org.odpi.openmetadata.commonservices.generichandlers,org.odpi.openmetadata.commonservices.ffdc,678,5,678.0,1214.8129201366212
org.odpi.openmetadata.repositoryservices.localrepository.repositoryconnector,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.repositoryconnector,548,8,548.0,1204.0790683802484
org.odpi.openmetadata.adapters.connectors.externalharvesters.harvestopenmetadata.schema,org.odpi.openmetadata.adapters.connectors.resource.jdbc.properties,617,6,617.0,1200.6265619671283
org.odpi.openmetadata.adapters.connectors.apacheatlas.integration.modules,org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,738,4,738.0,1187.765179376366
org.odpi.openmetadata.adapters.connectors.integration.jdbc.transfer.requests,org.odpi.openmetadata.frameworks.auditlog,660,5,660.0,1182.5612496905162
org.odpi.openmetadata.samples.governanceactions.clinicaltrials,org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,845,3,845.0,1171.4187351463074
org.odpi.openmetadata.commonservices.ffdc.rest,org.odpi.openmetadata.frameworks.openmetadata.search,651,5,651.0,1166.4354144674637
org.odpi.openmetadata.frameworks.opensurvey,org.odpi.openmetadata.frameworks.openmetadata.search,557,7,557.0,1158.2489387156686
org.odpi.openmetadata.adapters.connectors.jacquard,org.odpi.openmetadata.frameworks.openmetadata.search,645,5,645.0,1155.6848576520954
org.odpi.openmetadata.commonservices.repositoryhandler,org.odpi.openmetadata.frameworks.openmetadata.ffdc,644,5,644.0,1153.8930981828673
org.odpi.openmetadata.frameworks.opengovernance,org.odpi.openmetadata.frameworks.openmetadata.search,552,7,552.0,1147.8517310072693
