source_package,target_package,import,contain,parameter,call,return,throw,implement,extend,create,use,cast,impllink,annotation,mixin
org.odpi.openmetadata.frameworks.openmetadata.properties.connections,org.odpi.openmetadata.frameworks.openmetadata.properties,8,0,0,32,0,0,0,8,0,33,0,0,0,0
org.odpi.openmetadata.accessservices.governanceprogram.samples.leadership,org.odpi.openmetadata.frameworks.openmetadata.client,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.accessservices.governanceprogram.samples.leadership,org.odpi.openmetadata.http,1,0,0,1,0,0,0,0,0,1,0,0,0,0
org.odpi.openmetadata.accessservices.governanceprogram.samples.leadership,org.odpi.openmetadata.frameworks.openmetadata.metadataelements,0,4,4,12,0,0,0,0,0,2,0,0,0,0
org.odpi.openmetadata.accessservices.governanceprogram.samples.leadership,org.odpi.openmetadata.frameworks.openmetadata.handlers,3,2,5,17,0,0,0,0,2,0,0,0,0,0
org.odpi.openmetadata.accessservices.governanceprogram.samples.leadership,org.odpi.openmetadata.frameworks.openmetadata.ffdc,3,0,0,0,0,15,0,0,0,0,0,0,0,0
org.odpi.openmetadata.accessservices.governanceprogram.samples.leadership,org.odpi.openmetadata.frameworks.openmetadata.properties.actors,3,3,0,4,0,0,0,0,3,0,1,0,0,0
org.odpi.openmetadata.accessservices.governanceprogram.samples.leadership,org.odpi.openmetadata.frameworks.openmetadata.properties,0,0,0,8,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.accessservices.governanceprogram.samples.leadership,org.odpi.openmetadata.adminservices.configuration.registration,1,0,0,0,0,0,0,0,0,1,0,0,0,0
org.odpi.openmetadata.accessservices.governanceprogram.samples.leadership,org.odpi.openmetadata.frameworks.openmetadata.search,4,2,0,9,0,0,0,0,6,0,0,0,0,0
org.odpi.openmetadata.accessservices.governanceprogram.samples.leadership,org.odpi.openmetadata.frameworks.openmetadata.types,2,0,0,0,0,0,0,0,0,30,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.metadataelements,44,7,11,52,45,0,0,0,0,2,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.client,45,5,44,59,0,0,0,0,1,5,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.softwarecapabilities,4,0,6,0,0,0,0,0,0,0,0,0,0,0
